current_state,read_symbol,next_state,written_symbol,move
move_right_to_first_end,0,move_right_to_first_end,0,R
move_right_to_first_end,1,move_right_to_first_end,1,R
move_right_to_first_end,#,move_right_to_second_end,#,R
move_right_to_second_end,0,move_right_to_second_end,0,R
move_right_to_second_end,1,move_right_to_second_end,1,R
move_right_to_second_end,#,check_if_then_halt,#,R
move_right_to_second_end,c,subtract_one_from_second,c,L
move_right_to_second_end,h,subtract_one_from_second,h,L
check_if_then_halt,0,go_back_and_write_hash,0,L
check_if_then_halt,1,go_back_and_write_hash,1,L
check_if_then_halt,#,go_back_and_write_halt,#,L
go_back_and_write_hash,#,subtract_one_from_second,c,L
go_back_and_write_halt,#,subtract_one_from_second,h,L
subtract_one_from_second,0,subtract_one_from_second,1,L
subtract_one_from_second,1,move_left_to_first_end,0,L
subtract_one_from_second,#,clean_up,#,R
move_left_to_first_end,0,move_left_to_first_end,0,L
move_left_to_first_end,1,move_left_to_first_end,1,L
move_left_to_first_end,#,add_one_to_first,#,L
add_one_to_first,0,move_right_to_first_end,1,R
add_one_to_first,1,add_one_to_first,0,L
add_one_to_first,#,move_right_to_first_end,1,R
clean_up,0,clean_up,#,R
clean_up,1,clean_up,#,R
clean_up,#,clean_up,#,R
clean_up,c,move_left_and_reach_digits,c,L
clean_up,h,move_one_step_to_right_and_halt,#,R
move_left_and_reach_digits,0,continue_to_leftmost_digit,0,L
move_left_and_reach_digits,1,continue_to_leftmost_digit,1,L
move_left_and_reach_digits,#,move_left_and_reach_digits,#,L
continue_to_leftmost_digit,0,continue_to_leftmost_digit,0,L
continue_to_leftmost_digit,1,continue_to_leftmost_digit,1,L
continue_to_leftmost_digit,#,move_right_and_reach_c,b,R
move_right_and_reach_c,0,move_right_and_reach_c,0,R
move_right_and_reach_c,1,move_right_and_reach_c,1,R
move_right_and_reach_c,#,move_right_and_reach_c,#,R
move_right_and_reach_c,c,move_left_to_first_end_and_start_shifting,c,L
move_left_to_first_end_and_start_shifting,#,move_left_to_first_end_and_start_shifting,#,L
move_left_to_first_end_and_start_shifting,0,move_right_and_shift_zero,#,R
move_left_to_first_end_and_start_shifting,1,move_right_and_shift_one,#,R
move_left_to_first_end_and_start_shifting,b,move_right_reach_c_and_replace_it_by_hash,#,R
move_right_reach_c_and_replace_it_by_hash,0,move_right_reach_c_and_replace_it_by_hash,0,R
move_right_reach_c_and_replace_it_by_hash,1,move_right_reach_c_and_replace_it_by_hash,1,R
move_right_reach_c_and_replace_it_by_hash,#,move_right_reach_c_and_replace_it_by_hash,#,R
move_right_reach_c_and_replace_it_by_hash,c,move_left_and_reach_leftmost_digit,#,L
move_left_and_reach_leftmost_digit,0,move_left_and_reach_leftmost_digit,0,L
move_left_and_reach_leftmost_digit,1,move_left_and_reach_leftmost_digit,1,L
move_left_and_reach_leftmost_digit,#,move_right_to_first_end,#,R
move_right_and_shift_zero,#,move_right_and_shift_zero,#,R
move_right_and_shift_zero,0,turn_left_and_shift_zero,0,L
move_right_and_shift_zero,1,turn_left_and_shift_zero,1,L
move_right_and_shift_zero,c,turn_left_and_shift_zero,c,L
move_right_and_shift_one,#,move_right_and_shift_one,#,R
move_right_and_shift_one,0,turn_left_and_shift_one,0,L
move_right_and_shift_one,1,turn_left_and_shift_one,1,L
move_right_and_shift_one,c,turn_left_and_shift_one,c,L
turn_left_and_shift_zero,#,move_left_to_first_end_and_start_shifting,0,L
turn_left_and_shift_one,#,move_left_to_first_end_and_start_shifting,1,L
move_one_step_to_right_and_halt,0,halt,0,R
move_one_step_to_right_and_halt,1,halt,1,R
move_one_step_to_right_and_halt,#,halt,#,R
